column,latitude,longitude
Egyptian,33.5883745070996,-85.96870961107942
Egyptian,33.608776420542085,-86.01479386719382
Egyptian,33.59474913567554,-85.93674472661107
Egyptian,33.494139417912834,-86.73913728458847
Egyptian,33.51396605724816,-86.71984541540093
Egyptian,33.43468082279582,-86.79449397034165
Egyptian,33.442166383144645,-86.79422835100489
Egyptian,33.445843174215995,-86.80448449223185
Egyptian,33.44447926526458,-86.79618723881039
Egyptian,34.76784749935252,-86.56438858356893
Egyptian,34.65053280572636,-86.75244841959291
Egyptian,33.190411240530565,-87.49964454179646
Egyptian,33.18863197906938,-87.5153395256291
Egyptian,33.18882439754737,-87.50342486016052
Egyptian,33.1964079030531,-87.50249182739688
Egyptian,61.08739415091737,-149.79518782138277
Egyptian,61.09310062634598,-149.75521782566022
Egyptian,61.091960095387286,-149.8293756418462
Egyptian,32.26183662933736,-109.80130707171023
Egyptian,33.47679587429908,-112.25056657819863
Egyptian,33.51452452930302,-112.28802379329689
Egyptian,33.61088902993618,-111.95269486441721
Egyptian,33.556013242946996,-112.05068440952957
Egyptian,33.565659230369896,-112.14368619515588
Egyptian,33.56231884646344,-112.14911434493318
Egyptian,33.55530670644883,-112.14636992127132
Egyptian,33.560882542509475,-112.14501292954894
Egyptian,33.547107704848834,-111.90470135200553
Egyptian,33.49235829298666,-111.93470213936696
Egyptian,33.499789246680905,-111.91956107738257
Egyptian,33.42368668605178,-111.9130733725506
Egyptian,33.42965957590897,-111.95966324228324
Egyptian,33.37494397905527,-111.91004306010424
Egyptian,33.41575442048114,-111.86305155739838
Egyptian,33.36087162213508,-111.8255689804905
Egyptian,33.40654166614954,-111.71590590216489
Egyptian,33.30908685436894,-111.86906617639333
Egyptian,33.67979676879359,-112.12980894753629
Egyptian,33.266049045700896,-111.88641270127073
Egyptian,33.27115325940201,-111.85861482102331
Egyptian,33.26915628974459,-111.87811711606216
Egyptian,33.251850874583106,-111.613340044781
Egyptian,33.25713742045765,-111.60582685869407
Egyptian,33.25178574055254,-111.60956372910483
Egyptian,33.25775960589575,-111.61507092929322
Egyptian,33.261747901569095,-111.60960432486229
Egyptian,33.24961419501003,-111.58777601879723
Egyptian,34.512142628814054,-114.30585129553378
Egyptian,32.15054737091503,-111.00837335423257
Egyptian,32.15851999509191,-110.9926148848718
Egyptian,32.15160312896378,-110.9954118055928
Egyptian,32.15662977226756,-111.00379965424426
Egyptian,32.16037938055341,-110.997125150841
Egyptian,32.15430880694524,-111.00425753022863
Egyptian,32.152661582899995,-110.99422817842577
Egyptian,32.15320472236888,-111.0038367299329
Egyptian,32.2501039474954,-110.87235129533751
Egyptian,32.31757286873036,-110.92111720077162
Egyptian,32.32001090912884,-110.89412820508738
Egyptian,32.28683142904268,-110.83446635180704
Egyptian,32.28246906198881,-110.83619474682321
Egyptian,32.30853082592246,-110.8366455791793
Egyptian,32.3028712016092,-110.83896990152154
Egyptian,32.29271666253599,-110.83509217905527
Egyptian,32.30881526771929,-110.82483000059725
Egyptian,32.30102451433443,-110.83303365315282
Egyptian,32.29710886649892,-110.82459726767368
Egyptian,32.3018560646601,-110.83331095203593
Egyptian,32.304801894243965,-110.83411476667695
Egyptian,32.30784094587569,-110.84117164936819
Egyptian,32.29980967785756,-110.83223143277523
Egyptian,32.298239485596575,-110.83224197369331
Egyptian,32.297235199464026,-110.83582323497969
Egyptian,32.307107678792576,-110.83370754912168
Egyptian,32.300962178205396,-110.84021498455577
Egyptian,35.432470214751014,-94.3590527301664
Egyptian,35.45761808946452,-94.29665567221264
Egyptian,35.45098374279182,-94.30029619731462
Egyptian,35.42878077859433,-94.35433739991973
Egyptian,35.434868508495626,-94.33198668866018
Egyptian,35.445250590938784,-94.30744401755922
Egyptian,35.44641448366369,-94.30023051957357
Egyptian,35.42923445068946,-94.35327097793949
Egyptian,35.10430336642166,-92.2788444808023
Egyptian,34.75583590364718,-92.29301584138041
Egyptian,34.753013397392564,-92.31133851840782
Egyptian,34.766637983670556,-92.30691306194588
Egyptian,34.774797835146046,-92.30900638702188
Egyptian,34.75732839141372,-92.29550370803285
Egyptian,37.81308817428105,-122.25388259929052
Egyptian,37.791481848735586,-122.22937579737714
Egyptian,37.79719165283119,-122.23551701186565
Egyptian,37.793024916072554,-122.23139879810078
Egyptian,37.79225374447638,-122.23025408954254
Egyptian,37.86685075498969,-122.2586936702416
Egyptian,37.857959448312144,-122.28559489208689
Egyptian,37.758427340500795,-122.24394332733876
Egyptian,37.699340776212345,-122.08224170937608
Egyptian,37.71862311598071,-122.16108197989428
Egyptian,37.6950080950802,-122.14125428074918
Egyptian,37.71052701792681,-122.1546597039262
Egyptian,37.69411265837829,-122.13912988337151
Egyptian,37.65165716538916,-122.08770587007325
Egyptian,37.65041378122866,-122.086245349929
Egyptian,37.65319619952367,-122.08783660121743
Egyptian,37.64426114309523,-121.89192224907494
Egyptian,37.6509897489002,-121.89792210591636
Egyptian,37.64649521555745,-121.8964558472802
Egyptian,37.64032297731396,-121.88994615021475
Egyptian,37.66567367476219,-121.91405472764033
Egyptian,37.68555399170817,-121.89274181426218
Egyptian,37.69692323822746,-121.88533490845346
Egyptian,39.50647357709595,-121.57560126502936
Egyptian,37.95501393308579,-121.7123571755697
Egyptian,37.96883973054517,-121.72147645317285
Egyptian,37.968026939791635,-121.71444379379997
Egyptian,37.971257260964464,-121.70728041995561
Egyptian,37.97060153613706,-121.70972770738202
Egyptian,37.9647569761872,-121.69968502691133
Egyptian,37.97729813036281,-121.86191203766437
Egyptian,37.98998698893615,-122.08493604264439
Egyptian,37.98573270584973,-122.10277384255198
Egyptian,37.97896653130215,-122.02130181540262
Egyptian,37.9526811783049,-121.97772391049098
Egyptian,37.9496561138941,-121.98206232901147
Egyptian,37.950209278727954,-121.99313830380436
Egyptian,37.94798574274231,-121.98476387111408
Egyptian,37.95479821259841,-121.99440033561692
Egyptian,37.95294249780486,-121.98889912246452
Egyptian,37.94882520328422,-121.98864409121869
Egyptian,37.9536860832456,-121.98457731033324
Egyptian,37.94897954808373,-121.99473485435318
Egyptian,37.91771542207383,-122.05658587786809
Egyptian,37.92037923601589,-122.05712813602415
Egyptian,37.887874879313884,-122.04294612369382
Egyptian,37.76527593570545,-121.93195126149543
Egyptian,37.77637377440561,-121.97412228600624
Egyptian,37.77118158797851,-121.97023265146586
Egyptian,37.87520908659475,-122.02840126691657
Egyptian,37.81598344474738,-122.08192991462204
Egyptian,37.894509765662214,-122.20679721145842
Egyptian,37.78553099847575,-121.87606920994325
Egyptian,37.78074980937772,-121.89775062746058
Egyptian,37.91908976888736,-122.31338563951017
Egyptian,37.92507421572358,-122.32025620067571
Egyptian,37.91749971383171,-122.3101954733438
Egyptian,37.92615185984075,-122.3177560374677
Egyptian,37.91690729385388,-122.31076621498504
Egyptian,36.887848165206144,-119.75306485343116
Egyptian,36.8911054288068,-119.76403257867953
Egyptian,36.8872464312855,-119.75009003695577
Egyptian,36.88156773884457,-119.75135050349729
Egyptian,36.881433791558614,-119.7565049504883
Egyptian,36.892223415500006,-119.75010340606899
Egyptian,36.89532858276992,-119.7639648108399
Egyptian,36.89236641886385,-119.75409004947332
Egyptian,36.88354767020109,-119.75275383996775
Egyptian,36.81990075697083,-120.41344222639687
Egyptian,36.785639206117246,-120.38743369365383
Egyptian,36.81175769305484,-120.39738717613572
Egyptian,36.824492217505764,-120.4136058752717
Egyptian,36.74376640901414,-120.35905146093334
Egyptian,36.76035373851311,-120.35411343231516
Egyptian,36.799022370435296,-120.39456077282095
Egyptian,36.75380919620771,-120.35708966153798
Egyptian,36.81880687679543,-120.41906540485466
Egyptian,36.82751072330415,-120.40662636746926
Egyptian,36.76377303130807,-120.37161935964527
Egyptian,36.81462125974151,-120.3922451087658
Egyptian,40.869048832301914,-124.06873439226571
Egyptian,40.87358191325739,-124.07286161285994
Egyptian,40.88329835533662,-124.11225384351147
Egyptian,35.376624086808484,-119.03001697604344
Egyptian,35.38116212117715,-119.03234131892768
Egyptian,35.37986481107214,-119.03340898015986
Egyptian,35.377291945588325,-119.02887520538145
Egyptian,35.28864333799638,-119.16503262883268
Egyptian,35.276730081166704,-119.22135388297187
Egyptian,35.27664277810567,-119.22869195388617
Egyptian,35.32759344099834,-119.18586575513459
Egyptian,35.7644010982024,-119.32655541850644
Egyptian,35.622690789202416,-117.66168405300155
Egyptian,35.61859025291167,-117.65255184615361
Egyptian,35.609892589424724,-117.66541550604906
Egyptian,35.6124962247167,-117.66706389539672
Egyptian,35.60812115471568,-117.66733607713081
Egyptian,34.256611080041495,-118.54840105976186
Egyptian,34.26333529102295,-118.54005254804177
Egyptian,34.253043956941816,-118.54530408430867
Egyptian,34.26105298820277,-118.50504562566903
Egyptian,34.25439644634454,-118.49157878440707
Egyptian,34.25341799347755,-118.49658160029507
Egyptian,34.25033186837094,-118.61510455343944
Egyptian,34.24564358625915,-118.45464285652511
Egyptian,34.230334921414965,-118.48428860442833
Egyptian,34.22345680780483,-118.48453964553103
Egyptian,34.2256715322006,-118.47829546086055
Egyptian,34.2300036814011,-118.47582339447341
Egyptian,34.22455229117704,-118.47550093594447
Egyptian,34.227772268166134,-118.47878921557424
Egyptian,34.21995125298702,-118.36067587503067
Egyptian,34.21608348202324,-118.35737809969677
Egyptian,34.178824465076616,-118.40756444303786
Egyptian,34.17063754504582,-118.41231470072843
Egyptian,34.165414286312995,-118.39946823508397
Egyptian,34.176102383840835,-118.44567417256494
Egyptian,34.204263123384536,-118.58292370196833
Egyptian,34.20308598866452,-118.57843934827382
Egyptian,34.1799815310493,-118.66233504874752
Egyptian,34.17639152064702,-118.65046569420011
Egyptian,34.17881907335369,-118.64833000508523
Egyptian,34.177676518403416,-118.65745997680625
Egyptian,34.17096059122433,-118.64735321381812
Egyptian,34.15244236327018,-118.45138618572675
Egyptian,34.14713704172739,-118.4563266311663
Egyptian,34.13245260311828,-118.35201028662973
Egyptian,34.136496513389005,-118.2178956683094
Egyptian,34.09466257806166,-118.35175721416795
Egyptian,34.09595008896816,-118.35374817060057
Egyptian,34.10262535240927,-118.31223433057063
Egyptian,34.105240985211665,-118.31324816629457
Egyptian,34.09675019391921,-118.30193272171446
Egyptian,34.09087087393979,-118.29214170277108
Egyptian,34.08553339511084,-118.29458474594249
Egyptian,34.089092081419146,-118.30012908776318
Egyptian,34.08832618587725,-118.29635476677844
Egyptian,34.081463238922034,-118.34972077187781
Egyptian,34.10375143521522,-118.27809080791236
Egyptian,34.04610343617425,-118.25737766656538
Egyptian,34.07868659647187,-118.3374126990568
Egyptian,34.057058326128605,-118.37209894593282
Egyptian,34.04337991509666,-118.31412470597232
Egyptian,34.11811621423472,-118.37779175355148
Egyptian,34.11527724626106,-118.38733926326847
Egyptian,34.117688399436815,-118.38868728503299
Egyptian,34.116467046475705,-118.38500341407978
Egyptian,34.054478902986524,-118.43690511782991
Egyptian,34.057125478362394,-118.42996388063422
Egyptian,34.04876986631353,-118.44921552389853
Egyptian,34.04318700670624,-118.38007871088071
Egyptian,34.039936704628204,-118.37895923735061
Egyptian,34.0365712706147,-118.39187631022672
Egyptian,33.99787539572253,-118.40819336386433
Egyptian,33.97648220733645,-118.3825498430307
Egyptian,33.974198095985074,-118.37843225156062
Egyptian,33.97663056836901,-118.37357038489873
Egyptian,33.956759759593254,-118.44022188746115
Egyptian,33.95440718685286,-118.44016805402352
Egyptian,33.9536893262678,-118.43847910728886
Egyptian,33.95463010830888,-118.43807941242189
Egyptian,33.95557939971138,-118.43797049045477
Egyptian,34.22520086096663,-118.23874190613087
Egyptian,34.15659619405938,-118.25357275267955
Egyptian,34.18864530596408,-118.30338246291495
Egyptian,34.16553813537148,-118.31567203899289
Egyptian,34.16009664272997,-118.31426058762173
Egyptian,34.167507745756645,-118.3173863443681
Egyptian,34.12871698497291,-117.69920359407945
Egyptian,34.13412777862903,-117.71473378685236
Egyptian,34.14087118871005,-117.8609476001149
Egyptian,34.14105296542245,-117.86556072595306
Egyptian,34.14053952618555,-117.86295778661616
Egyptian,34.09844838258951,-117.81290343220256
Egyptian,34.12582627278366,-117.81604892755769
Egyptian,34.11653618180792,-117.81827158449074
Egyptian,34.12188046205769,-117.81298737298582
Egyptian,34.12213503804587,-117.80954965347046
Egyptian,34.10390149811101,-117.81756796046766
Egyptian,34.118777141391824,-117.81181805298941
Egyptian,34.1144683790053,-117.82285748939586
Egyptian,34.107843007485144,-117.81134189415825
Egyptian,34.114555293299205,-117.82234782948652
Egyptian,34.10816915565728,-117.80920609494726
Egyptian,34.123616145060836,-117.81223763626042
Egyptian,34.10585628577536,-117.81903878863521
Egyptian,34.07576445921779,-117.87491837826526
Egyptian,34.09590679012123,-117.85769963621192
Egyptian,34.08381067148039,-117.86197187642655
Egyptian,34.09297733016745,-117.85440964073062
Egyptian,34.087955460970655,-117.87881839612078
Egyptian,34.0645030591438,-117.95683504832972
Egyptian,34.06155077853419,-117.9510561854409
Egyptian,34.06916363087836,-117.95871556517561
Egyptian,34.05816739070796,-117.95412376761325
Egyptian,34.02503069664453,-117.90903703998129
Egyptian,34.02626302907071,-117.90296579612212
Egyptian,34.02753999279054,-117.90733424018515
Egyptian,34.02549744312222,-117.91685564131815
Egyptian,34.14264150437757,-117.97653358372773
Egyptian,34.164857532802245,-118.0596127475075
Egyptian,34.12262328263974,-118.00663320266321
Egyptian,34.161980140990174,-118.10978205075196
Egyptian,34.14269783839862,-118.15596910887842
Egyptian,34.14210250891146,-118.1719315374926
Egyptian,34.13012844396924,-118.17220637194792
Egyptian,34.13624980032982,-118.17660506126094
Egyptian,34.140047522203176,-118.17972375100379
Egyptian,34.12895314937265,-118.1682653945234
Egyptian,34.134039434216085,-118.16838916394215
Egyptian,34.140026679394516,-118.16877872676733
Egyptian,34.1263246421654,-118.16543119485273
Egyptian,34.141024644765544,-118.17821131661758
Egyptian,34.13835903234122,-118.17630621464842
Egyptian,34.13636258015298,-118.17164988991429
Egyptian,34.08710155886346,-118.14723702608138
Egyptian,34.08842527377925,-118.1589609164253
Egyptian,34.09814899520065,-118.14878775364578
Egyptian,34.07427414771833,-118.1306050902859
Egyptian,34.07618001801156,-118.12917864560973
Egyptian,34.079151202446106,-118.13204507550626
Egyptian,34.076645765770614,-118.1291402694507
Egyptian,34.078825333161,-118.13279665841632
Egyptian,34.067778614287676,-118.13396439529437
Egyptian,34.06883643400405,-118.12709460451887
Egyptian,33.97067119171045,-118.09792945066962
Egyptian,33.97493885603383,-118.09693917374443
Egyptian,33.97542579026924,-118.09851932207879
Egyptian,33.974801114047374,-118.09867699658572
Egyptian,33.97816401357909,-118.09463283855251
Egyptian,33.92801315745344,-118.01963453412957
Egyptian,33.92646786854696,-118.02111712016305
Egyptian,33.927267934742446,-118.01860222394905
Egyptian,33.929951439571695,-118.01890416919265
Egyptian,33.92507297714409,-118.02041561490203
Egyptian,33.93236523041975,-118.01217539832122
Egyptian,33.91808874844968,-117.97717281613379
Egyptian,33.92231184101792,-117.98584007223236
Egyptian,33.92341041164055,-117.98213912384286
Egyptian,33.97515528028412,-118.23814815006078
Egyptian,33.84132186598457,-118.17533191822345
Egyptian,33.79521779063754,-118.14758378201088
Egyptian,33.794272894729076,-118.14941437711083
Egyptian,33.783298398890246,-118.15279435219769
Egyptian,33.78152527527277,-118.1931745115847
Egyptian,33.78091666942056,-118.19331138325481
Egyptian,33.77689506746154,-118.19312321978428
Egyptian,33.77699286334989,-118.19384786572114
